STREET,QUADRANT,FROMINTERSECTION,TOINTERSECTION,NOOFBLOCKS,WORKDESCRIPTION,YEARBUDGETED,PERCENTCOMPLETED,STATUS,MILES,WARD,FUNCTIONALCLASS,ESTIMATEDSTARTDATE,ESTIMATEDCOMPLETIONDATE,ACTUALCOMPLETIONDATE,REMARKS,XCOORD,YCOORD,LATITUDE,LONGITUDE,PROJECTNOTE,PROJECTNAME,PROJECTMGR,PROJECTID,TEAMREP,EMAIL,CONTACTPHONE
Shoemaker St,NW,Linnean Ave,Tilden St,1,Upgrading,2004,100,Completed,0.06,3,LOCAL,3/31/2004 12:00:00 AM,,6/20/2005 12:00:00 AM,2 Year CIP 2001 - 2003,395436.486140,141355.7520,38.94007958838560,-77.05263864600330,,,,2605,,,
Underwood St,NW,Piney Branch Rd,Georgia Ave (S),1,Reconstruction,2004,100,Completed,0.08,4,LOCAL,3/31/2004 12:00:00 AM,6/20/2005 12:00:00 AM,6/20/2005 12:00:00 AM,2 Year CIP 2001 - 2003,397684.465310,144524.257890,38.96863113377640,-77.02671963796430,N/A,Citywide Pavement Restoration,Paul Stephenson,2620,,N/A,
Elder St,NW,7th St,8th St,1,Regular Cover,2004,100,Completed,0.08,4,LOCAL,3/30/2003 12:00:00 AM,,6/20/2005 12:00:00 AM,2 Year CIP 2001 - 2003,397946.335230,145484.907360,38.97728553957830,-77.02370072183250,,,,2502,,,
26th St,NW,Northampton St,Rittenhouse St,1,Regular Cover,2004,100,Completed,0.16,4,LOCAL,3/31/2004 12:00:00 AM,,6/21/2005 12:00:00 AM,2 Year CIP 2001 - 2003,395222.364150,144523.710120,38.96861625628640,-77.05513054072390,,,,2474,,,
4th St,NW,Madison St (N),Peabody St,5,Regular Cover,1999,100,Completed,0.27,4,LOCAL,4/5/2004 12:00:00 AM,,6/21/2005 12:00:00 AM,2 Year CIP 2001 - 2003,398437.014590,143645.750150,38.96071897980130,-77.01803374746770,,,,2643,,,
Underwood Pl,NW,North Capitol St,1st St,1,Pavement Resurface/restoration,2004,100,Completed,0.14,4,LOCAL,4/4/2005 12:00:00 AM,6/22/2005 12:00:00 AM,6/22/2005 12:00:00 AM,,399104.380030,144575.760520,38.96909767782070,-77.01033489061090,N/A,Citywidy Pavement Restoration,Paul Stephenson,5879,Rodney,N/A,202-671-4591
20th St,NW,Columbia Rd,Wyoming Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.04,1,LOCAL,3/31/2004 12:00:00 AM,,6/23/2005 12:00:00 AM,Added to IDIQ04 per Team 1,396042.847390,138911.216350,38.91806139575960,-77.045630373562,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,3422,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Quintana Pl,NE,3rd St,Eastern Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.12,4,LOCAL,4/4/2005 12:00:00 AM,6/23/2005 12:00:00 AM,6/23/2005 12:00:00 AM,2 Year CIP 2001 - 2003,399845.799520,144049.463750,38.964357110893,-77.00177925810040,N/A,Citywide Pavement Restoration,Paul Stephenson,2621,,N/A,
Tuckerman St,NE,Kansas Ave,Eastern Ave,1,Reconstruction,2004,100,Completed,0.12,4,LOCAL,3/31/2004 12:00:00 AM,6/23/2005 12:00:00 AM,6/23/2005 12:00:00 AM,2 Year CIP 2001 - 2003,399496.144190,144380.436260,38.96733846177190,-77.005814035310,N/A,Citywide Pavement Restoration,Paul Stephenson,2513,,N/A,202-671-4594
Eads St,NE,45th St,47th St,1,Pavement Resurface/restoration,2005,100,Completed,0.16,7,LOCAL,7/1/2007 12:00:00 AM,,6/24/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4),405524.723430,136373.008890,38.89518788958450,-76.936314213888,,CITYWIDE PAVEMENT RESTORATION CONTRACT (LOCAL STREETS),,7151,,,
4th St,SE,Newcomb St,Orange St,2,Pavement Resurface/restoration,2005,100,Completed,0.11,8,LOCAL,,,6/24/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4),399672.286690,131031.177660,38.84708381693130,-77.00377514183930,,CITYWIDE PAVEMENT RESTORATION CONTRACT (LOCAL STREETS),,8740,,,
Belt Rd,NW,Jenifer St,Military Rd,1,Reconstruction,2004,100,Completed,0.16,3,LOCAL,3/31/2004 12:00:00 AM,,6/24/2005 12:00:00 AM,2 Year CIP 2001 - 2003,392984.549980,143576.290280,38.96006664049010,-77.08094362944150,,,,2612,,,
Oneida St,NE,New Hampshire Ave,6th St,2,Regular Cover,1999,100,Completed,0.34,4,LOCAL,,6/24/2005 12:00:00 AM,6/24/2005 12:00:00 AM,2 Year CIP 2001 - 2003,399812.889730,143788.686560,38.96200795810520,-77.00215891993620,N/A,Citywide Pavement Restoration,Paul Stephenson,2645,,N/A,
Carrollsburg Pl,SW,O St,P St,1,Pavement Resurface/restoration,2004,100,Completed,0.06,6,LOCAL,,,6/25/2005 12:00:00 AM,,399140.916090,133852.114870,38.87249564847420,-77.00989986793530,,,FY-05,5063,,,
23rd St,NW,Washington Cir (N),M St,2,Pavement Resurface/restoration,2004,100,Completed,0.15,2,PRINCIPAL ARTERIAL,4/4/2005 12:00:00 AM,,6/25/2005 12:00:00 AM,,395653.136890,137368.332450,38.904160733373,-77.05011440170990,,,,5215,,,
Kanawha St,NW,Utah Ave,30th St,2,Reconstruction,2004,100,Completed,0.21,4,LOCAL,3/31/2004 12:00:00 AM,,6/25/2005 12:00:00 AM,2 Year CIP 2001 - 2003,394917.144410,143966.171560,38.96359209942560,-77.05864842656890,,,,2614,,,
Piney Branch Rd,NW,Underwood St,Venable Pl,2,Pavement Resurface/restoration,2004,100,Completed,0.16,4,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,6/27/2005 12:00:00 AM,,397786.545850,144641.002470,38.96968306018680,-77.02554207748430,,,,5299,,,
30th St,NW,Stephenson Pl,Tennyson St,1,Regular Cover,2004,100,Completed,0.15,4,LOCAL,3/31/2004 12:00:00 AM,6/27/2005 12:00:00 AM,6/27/2005 12:00:00 AM,2 Year CIP 2001 - 2003,394882.299830,144904.925570,38.97204841928170,-77.05905748737710,N/A,Citywide Pavement Restoration,Paul Stephenson,2461,M. Howard,N/A,202-671-4591
32nd St,NW,Woodland Dr,Cleveland Ave,1,Regular Cover,2004,100,Completed,0.06,3,LOCAL,3/31/2004 12:00:00 AM,,6/27/2005 12:00:00 AM,2 Year CIP 2001 - 2003,394513.900410,139907.441980,38.92702749971470,-77.06326879060480,,,,2466,,,
33rd St,NW,Broad Branch Ter,Linnean Ter,1,Regular Cover,2004,100,Completed,0.14,3,LOCAL,3/31/2004 12:00:00 AM,,6/27/2005 12:00:00 AM,2 Year CIP 2001 - 2003,394329.703930,143174.308740,38.95645520153660,-77.065420046715,,,,2470,,,
Kanawha St,NW,Chevy Chase Pky,38th St,2,Upgrading,2004,100,Completed,0.23,3,LOCAL,3/31/2004 12:00:00 AM,,6/27/2005 12:00:00 AM,2 Year CIP 2001 - 2003,393715.0350,143603.490020,38.96031719357550,-77.07251561222340,,,,2584,,,
36th Pl,NW,Davis St,Garfield St,3,Upgrading,1999,100,Completed,0.32,3,LOCAL,8/4/2003 12:00:00 AM,,6/27/2005 12:00:00 AM,2 Year CIP 2001 - 2003,393755.342870,139746.974720,38.925576897178,-77.07201544012130,,,,2591,,,
Quackenbos St,NW,2nd St,3rd St,1,Regular Cover,2004,100,Completed,0.14,4,LOCAL,3/31/2004 12:00:00 AM,,6/28/2005 12:00:00 AM,,398708.066240,143984.642950,38.96377225227220,-77.014906988319,,CIP_2004-2009,,3469,,,
Ordway St,NW,30th St,34th St,2,Upgrading,2004,100,Completed,0.29,3,LOCAL,3/31/2004 12:00:00 AM,,6/28/2005 12:00:00 AM,Added per an e-mail from Khalid  Muhammed ,394474.5662,140936.006560,38.93629287547440,-77.06373069585940,,,,4991,,,
5th St,SE,Lebaum St,Mellon St,1,Regular Cover,2004,100,Completed,0.05,8,LOCAL,3/31/2004 12:00:00 AM,,6/28/2005 12:00:00 AM,,400040.598720,131076.142550,38.84748894053690,-76.99953231439930,,CIP_2004-2009,,4871,,,
Lebaum St,SE,5th St,Martin Luther King Jr Ave,1,Pavement Resurface/restoration,2005,100,Completed,0.18,8,LOCAL,,,6/28/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4),400183.062210,131022.219990,38.84700316429280,-76.997891190238,,CITYWIDE PAVEMENT RESTORATION CONTRACT,,8739,,,
Chillum Pl,NE,Sligo Mill Rd (N),Kansas Ave,2,Regular Cover,2004,100,Completed,0.16,4,LOCAL,3/31/2004 12:00:00 AM,6/28/2005 12:00:00 AM,6/28/2005 12:00:00 AM,2 Year CIP 2001 - 2003,399306.363930,144005.312680,38.96395912667420,-77.008003546461,N/A,Citywide Pavement Restoration,Paul Stephenson,2504,,N/A,
Tewkesbury Pl,NW,6th St,7th St,1,Regular Cover,1999,100,Completed,0.06,4,LOCAL,4/5/2004 12:00:00 AM,,6/28/2005 12:00:00 AM,2 Year CIP 2001 - 2003,398110.334910,144446.718720,38.96793366181240,-77.02180518948960,,,,2494,,,
M St,NE,17th St,Cul De Sac,8,Street Light Projects,2005,100,Completed,0.58,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,402292.712160,137529.893120,38.90562388661530,-76.97356708780780,,,,9105,,,
Chillum Pl,NE,Kennedy St,Riggs Rd,2,Pavement Resurface/restoration,2005,100,Completed,0.19,4,LOCAL,6/14/2005 12:00:00 AM,6/29/2005 12:00:00 AM,6/29/2005 12:00:00 AM,,400023.873050,143330.780190,38.95788303953530,-76.99972456337740,N/A,Citywide Pavement Restoration,Paul Stephenson,7136,Rodney,N/A,202-6714591
Minnesota Ave,SE,D St,Croffut Pl,3,Pavement Resurface/restoration,2005,100,Completed,0.25,7,MINOR ARTERIAL,7/1/2007 12:00:00 AM,,7/5/2005 12:00:00 AM,,403833.588550,135350.074110,38.88598191343480,-76.95581433319590,,Restoration Of NHS/STP Routes (Various Locations),Zohra Dorriz,8367,Ali Shakeri,,671-4612
Minnesota Ave,SE,Pennsylvania Ave (E),D St,19,Pavement Resurface/restoration,2005,100,Completed,1.09,7,MINOR ARTERIAL,,,7/5/2005 12:00:00 AM,,403340.242240,134477.237180,38.87812107400850,-76.96150484895020,,Restoration Of NHS/STP Routes (Various Locations),Zohra Dorriz,8525,Ali Shakeri,,671-4612
Ames St,NE,41st St,42nd St,1,Pavement Resurface/restoration,2005,100,Completed,0.11,7,LOCAL,7/1/2008 12:00:00 AM,,7/5/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4) (Updated a black one),404892.970880,135894.664380,38.89088252951550,-76.943600093174,,CITYWIDE PAVEMENT RESTORATION CONTRACT,,4030,,,
Barker St,SE,Cul De Sac,Southern Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.10,7,LOCAL,3/31/2004 12:00:00 AM,,7/6/2005 12:00:00 AM,,405281.615940,133640.704670,38.87057573924120,-76.93913761301580,,,,3608,,,
D St,NW,5th St,6th St,1,Pavement Resurface/restoration,2004,100,Completed,0.05,6,COLLECTOR,4/4/2005 12:00:00 AM,7/7/2005 12:00:00 AM,7/8/2005 12:00:00 AM,,398315.343610,136327.488120,38.89479356775660,-77.01941962651480,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5597,Said Cherifi,said.cherifi@dc.gov,202-671-4611
4th St,SE,Mississippi Ave (E),Mississippi Ave (E),0,Traffic Signal Work,2004,100,Completed,0,8,COLLECTOR,,,7/11/2005 12:00:00 AM,,399934.130010,129833.130010,38.83629132571310,-77.00075868437280,,,,8585,,,
4th St,SE,Valley Ave  Xenia St,Valley Ave  Xenia St,0,Traffic Signal Work,2004,100,Completed,0,8,COLLECTOR,,,7/11/2005 12:00:00 AM,,399954.1775,129467.514610,38.832997695994,-77.00052775491620,,,,8586,,,
1st St,SE,Atlantic St,Atlantic St,0,Traffic Signal Work,2004,100,Completed,0,8,COLLECTOR,,,7/11/2005 12:00:00 AM,,399488.990010,129268.680020,38.83120635501150,-77.00588534603930,,,,8587,,,
Wheeler Rd,SE,Mississippi Ave,Mississippi Ave,0,Traffic Signal Work,2004,100,Completed,0,8,MINOR ARTERIAL,,,7/11/2005 12:00:00 AM,,400558.88,130112.170010,38.83880486963380,-76.99356264590020,,,,8588,,,
Wheeler Rd,SE,Valley Ave,Valley Ave,0,Traffic Signal Work,2004,100,Completed,0,8,MINOR ARTERIAL,,,7/11/2005 12:00:00 AM,,400590.610010,129879.370010,38.83670768091990,-76.99319736956990,,,,8589,,,
Livingston Rd,SE,Atlantic St  Valley Ave,Atlantic St  Valley Ave,0,Traffic Signal Work,2004,100,Completed,0,8,LOCAL,,,7/11/2005 12:00:00 AM,,399692.810010,129241.940020,38.83096556347370,-77.00353792162350,,,,8590,,,
Marion St,NW,P St,Rhode Island Ave,2,Pavement Resurface/restoration,2004,100,Completed,0.22,2,LOCAL,4/4/2005 12:00:00 AM,,7/11/2005 12:00:00 AM,,398185.4663,138141.958460,38.91113869932940,-77.02092156143190,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,4453,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
H St,NW,New Jersey Ave,3rd St (N),2,Pavement Resurface/restoration,2004,100,Completed,0.14,6,MINOR ARTERIAL,3/31/2004 12:00:00 AM,7/18/2005 12:00:00 AM,7/18/2005 12:00:00 AM,,398781.844830,136927.5990,38.90020035422930,-77.01404316720370,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,4456,Said Cherifi,said.cherifi@dc.gov,202-671-4611
38th St,NW,Upton St,Van Ness St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,3,LOCAL,3/31/2004 12:00:00 AM,7/18/2005 12:00:00 AM,7/18/2005 12:00:00 AM,,393532.250040,141647.025060,38.94269150456540,-77.07460612662090,N/A,Citywide Pavement Restoration,Paul Stephenson,3907,Madibo,N/A,202-671-4591
27th St,NW,Q St,Mill Rd,1,Pavement Resurface/restoration,2004,100,Completed,0.03,2,LOCAL,4/4/2005 12:00:00 AM,,7/19/2005 12:00:00 AM,,395244.061590,138105.650430,38.910800629696,-77.05483568097560,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,4920,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
43rd Pl,NW,Ellicott St,Fessenden St,1,Pavement Resurface/restoration,2004,100,Completed,0.10,3,LOCAL,3/31/2004 12:00:00 AM,7/19/2005 12:00:00 AM,7/19/2005 12:00:00 AM,,392633.142970,142904.325250,38.95401052895160,-77.08499091131430,N/A,Citywide Pavement Restoration,Paul Stephenson,4505,Rodney Olive,N/A,202-671-4591
Bataan St,NW,Rhode Island Ave,Massachusetts Ave,2,Pavement Resurface/restoration,2004,100,Completed,0.06,2,LOCAL,3/31/2004 12:00:00 AM,,7/19/2005 12:00:00 AM,Added to IDIQ04 per Team 1,396733.533310,137709.889690,38.90724227890460,-77.03766028244620,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,3954,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Garrison St,NW,34th St,36th St,1,Pavement Resurface/restoration,2005,100,Completed,0.09,3,LOCAL,7/1/2007 12:00:00 AM,,7/20/2005 12:00:00 AM,,394094.727320,143068.795810,38.95550316514630,-77.06813013864820,N/A,Citywide Pavement Restoration,Paul Stephenson,6883,Rodney Olive,N/A,202-671-4591
Ellicott St,NW,41st St,42nd St  Wisconsin Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.09,3,LOCAL,,,8/5/2005 12:00:00 AM,,392967.6693,142826.7617,38.95331455790070,-77.08113071138440,,,,9897,,,
Sargent Rd,NE,Michigan Ave,Upshur St,2,Pavement Resurface/restoration,2005,100,Completed,0.12,5,MINOR ARTERIAL,7/1/2006 12:00:00 AM,,8/6/2005 12:00:00 AM,,401063.012320,141568.278210,38.942005295225,-76.98773816856120,,,,8245,,,
Maud St,NW,Macomb St,Loughboro Rd,3,Pavement Resurface/restoration,2004,100,Completed,0.19,3,LOCAL,3/31/2004 12:00:00 AM,,8/6/2005 12:00:00 AM,,390945.604850,140759.302240,38.93467179059830,-77.10443159461570,N/A,Citywide Pavement Restoration,Paul Stephenson,4515,Rodeny,N/A,202-671-4591
Monroe St,NE,10th St,18th St,7,Pavement Resurface/restoration,2005,100,Completed,0.70,5,MINOR ARTERIAL,8/2/2005 12:00:00 AM,,8/8/2005 12:00:00 AM,,401632.889150,140572.495810,38.933034118441,-76.98116701753470,,,,6748,,,
18th St,NE,Monroe St,Newton St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,5,COLLECTOR,7/1/2005 12:00:00 AM,8/3/2005 12:00:00 AM,8/9/2005 12:00:00 AM,,401764.098940,140635.670560,38.93360296208730,-76.97965354261670,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5427,Said Cherifi,said.cherifi@dc.gov,202-671-4611
A St,NE,2nd St,4th St,2,Pavement Resurface/restoration,2005,100,Completed,0.16,6,LOCAL,4/4/2005 12:00:00 AM,,8/9/2005 12:00:00 AM,,399822.480960,135899.108160,38.89093615887660,-77.00204621373220,Dan's Projects,,,7512,,,
Dumbarton Rock Ct,NW,P St,West Lane Keys,1,Pavement Resurface/restoration,2004,100,Completed,0.03,2,LOCAL,4/4/2005 12:00:00 AM,,8/10/2005 12:00:00 AM,,394726.190010,137964.580640,38.90952687020790,-77.06080562375680,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract(Local Streets),Maduabuchi Udeh,5029,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
West Lane Keys,NW,Cul De Sac (E),Dumbarton Rock Ct,1,Pavement Resurface/restoration,2005,100,Completed,0.02,2,LOCAL,7/1/2006 12:00:00 AM,,8/10/2005 12:00:00 AM,,394742.839860,137990.247070,38.90975818190260,-77.06061385196990,POKA-2003-B-0048-JJ,Citywide Pavement Restoration (Local Streets),Maduabuchi Udeh,5047,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
West Lane Keys,NW,Dumbarton Rock Ct,Cul De Sac (W),1,Pavement Resurface/restoration,2004,100,Completed,0.01,2,LOCAL,4/4/2005 12:00:00 AM,,8/10/2005 12:00:00 AM,,394717.905020,137989.9608,38.90975545358670,-77.06090134267530,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract(Local Streets),Maduabuchi Udeh,5853,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Olive St,NW,27th St,28th St,1,Pavement Resurface/restoration,2004,100,Completed,0.08,2,LOCAL,4/4/2005 12:00:00 AM,,8/12/2005 12:00:00 AM,,395106.536310,137582.637530,38.90608839515610,-77.05641761188590,POKA-2003-B-0048-JJ,Citywide Pavement Restoration (Local Streets),Maduabuchi Udeh,3514,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Maryland Ave,NE,2nd St,C St (W),2,Pavement Resurface/restoration,2004,100,Completed,0.18,6,COLLECTOR,4/4/2005 12:00:00 AM,,8/12/2005 12:00:00 AM,,399822.786010,136078.010560,38.89254777825370,-77.00204274364820,,Federal Aid city wide pavement restoration,Mohamed Abdullahi,5628,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Fort Lincoln Dr,NE,Commodore Joshua Barney Dr,Summit Ct,1,Pavement Resurface/restoration,2004,100,Completed,0.07,5,COLLECTOR,7/1/2005 12:00:00 AM,,8/13/2005 12:00:00 AM,,403691.945350,140037.569280,38.92820909687860,-76.95742170299780,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5476,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Fort Lincoln Dr,NE,Summit Ct,33rd Pl,2,Pavement Resurface/restoration,2004,100,Completed,0.59,5,COLLECTOR,7/1/2005 12:00:00 AM,,8/13/2005 12:00:00 AM,,403562.951230,139544.391490,38.92376692866170,-76.95891192020740,,FedAid_6YR_CIP,Mohamed Abdullahi,4819,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Nannie Helen Burroughs Ave,NE,49th St,50th St (E),3,Pavement Resurface/restoration,2004,100,Completed,0.11,7,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,4/12/2005 12:00:00 AM,,406017.046370,136733.951360,38.89843615777880,-76.93063584310270,,,,5714,,,
Nannie Helen Burroughs Ave,NE,54th Pl,55th St,1,Pavement Resurface/restoration,2004,100,Completed,0.03,7,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,4/12/2005 12:00:00 AM,,406748.646720,136726.024540,38.89835943800580,-76.92220207900620,,,,5715,,,
20th St,NW,Wyoming Ave,Kalorama Rd,1,Pavement Resurface/restoration,2004,100,Completed,0.07,1,LOCAL,3/31/2004 12:00:00 AM,,4/14/2005 12:00:00 AM,,396014.906910,138980.603970,38.91868633589080,-77.04595296110140,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,4476,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
16th St,NW,Piney Branch Pky,Arkansas Ave,1,Pavement Resurface/restoration,2005,100,Completed,0.06,4,PRINCIPAL ARTERIAL,,,4/19/2005 12:00:00 AM,,396840.405910,141198.403580,38.93866831858250,-77.036444166258,,VMS,,8483,,,
I St,NE,13th St,Florida Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.08,6,LOCAL,6/4/2005 12:00:00 AM,,4/20/2005 12:00:00 AM,,401078.765570,137051.537210,38.90131701600210,-76.987563552836,,,,5578,,,
G St,NE,13th St,Maryland Ave,1,Pavement Resurface/restoration,2005,100,Completed,0.10,6,LOCAL,,,4/20/2005 12:00:00 AM,,401092.1855,136786.066490,38.89892554409780,-76.98740926454560,,,,6976,,,
E St,NE,23rd Pl,25th Pl,2,Pavement Resurface/restoration,2005,100,Completed,0.11,7,LOCAL,6/1/2006 12:00:00 AM,,4/20/2005 12:00:00 AM,This location is in Ward 7  but It was paved by team3.,402364.449250,136473.876060,38.89611071826240,-76.97274365874610,,CIP_2004-2009,,4039,,,
G St,NE,14th St,14th Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.05,6,LOCAL,8/4/2005 12:00:00 AM,,4/20/2005 12:00:00 AM,,401297.974940,136784.113950,38.89890767514230,-76.98503692365110,,,,5554,,,
G St,NE,14th Pl,Gales St,1,Pavement Resurface/restoration,2004,100,Completed,0.05,6,LOCAL,8/4/2005 12:00:00 AM,,4/20/2005 12:00:00 AM,,401378.555140,136783.984760,38.89890638867760,-76.98410799406430,,,,5556,,,
E St,NW,19th St (N),20th St (N)  E St Expy (N),1,Pavement Resurface/restoration,2005,100,Completed,0.08,2,PRINCIPAL ARTERIAL,,,4/21/2005 12:00:00 AM,,396166.390230,136461.091290,38.89599036920720,-77.04419211043680,,,,8522,,,
20th St,NW,E St Expy (S)  E St (S),E St (N)  E St Expy (N),1,Pavement Resurface/restoration,2005,100,Completed,0.04,2,MINOR ARTERIAL,,,4/21/2005 12:00:00 AM,,396103.468760,136430.273440,38.89571247415030,-77.044917265621,,,,8523,,,
Connecticut Ave,NW,Macomb St,Ordway St,2,Pavement Resurface/restoration,2005,100,Completed,0.16,3,PRINCIPAL ARTERIAL,,,4/25/2005 12:00:00 AM,,394978.763230,140740.828960,38.93453768371120,-77.05791382954410,,VMS,,8485,,,
